Symbol,Company Name,Txn Type,Txn Date/Time, Gross Leverage, Net Leverage,# Shares,Price,Txn Value,Portfolio # Shares,Portfolio Value,Commission,Slippage(10BPS),Comments
_CASH,_CASH,Cash Deposit,2011-01-14 16:00:00,,,,,1000000,,
AAPL,AAPL,Buy,2011-01-18 16:00:00,0.977693952966,0.977693952966,2881.0,339.19,977206.39,2881.0,977206.39,10.0835,488.6,
AAPL,AAPL,Sell,2011-01-19 16:00:00,1.03982113573,1.03982113573,-2881.0,337.39,-972020.59,0.0,1032832.6,10.0835,1002.43,
IBM,IBM,Buy,2011-01-19 16:00:00,1.03982113573,1.03982113573,6830.0,151.22,1032832.6,6830.0,1032832.6,23.905,1002.43,
GOOG,GOOG,Buy,2011-01-31 16:00:00,0.995665222869,0.995665222869,338.0,600.36,202921.68,338.0,1030425.33,5.0,225.06,
IBM,IBM,Sell,2011-01-31 16:00:00,0.995665222869,0.995665222869,-1571.0,157.35,-247196.85,5259.0,1030425.33,5.4985,225.06,
GOOG,GOOG,Sell,2011-02-04 16:00:00,0.998062109668,0.1127277367,-148.0,610.98,-90425.04,190.0,118167.92,5.0,463.05,
XOM,XOM,Sell Short,2011-02-04 16:00:00,0.998062109668,0.1127277367,-5812.0,79.84,-464030.08,-5812.0,118167.92,20.342,463.05,
IBM,IBM,Sell,2011-02-04 16:00:00,0.998062109668,0.1127277367,-2333.0,159.3,-371646.9,2926.0,118167.92,8.1655,463.05,
GOOG,GOOG,Buy,2011-02-11 16:00:00,0.998989911125,0.998989911125,150.0,624.5,93675.0,340.0,1050535.88,5.0,464.11,
XOM,XOM,Buy,2011-02-11 16:00:00,0.998989911125,0.998989911125,5812.0,79.81,463855.72,0.0,1050535.88,20.342,464.11,
IBM,IBM,Buy,2011-02-11 16:00:00,0.998989911125,0.998989911125,2320.0,159.78,370689.6,5246.0,1050535.88,8.12,464.11,
GOOG,GOOG,Sell,2011-03-02 16:00:00,1.00040702702,1.00040702702,-340.0,600.79,-204268.6,0.0,1024853.16,5.0,204.9,
IBM,IBM,Buy,2011-03-02 16:00:00,1.00040702702,1.00040702702,1316.0,156.18,205532.88,6562.0,1024853.16,5.0,204.9,
IBM,IBM,Sell Short,2011-06-02 16:00:00,1.00097759271,-1.00097759271,-13121.0,162.69,-2134655.49,-6559.0,-1067083.71,45.9235,1067.33,
GOOG,GOOG,Buy,2011-05-23 16:00:00,nan,nan,nan,518.39,nan,nan,nan,5.0,0.0,
AAPL,AAPL,Buy,2011-05-23 16:00:00,nan,nan,nan,332.97,nan,nan,nan,5.0,0.0,
XOM,XOM,Buy,2011-05-23 16:00:00,nan,nan,nan,78.18,nan,nan,nan,5.0,0.0,
IBM,IBM,Buy,2011-05-23 16:00:00,nan,nan,nan,164.82,nan,nan,nan,5.0,0.0,
_CASH,_CASH,Cash Deposit,2011-12-13 16:00:00,,,,,0,,